Book Name,Author,Rating,Customers_Rated,Price
"Sprinting Through No Man's Land: Endurance, Tragedy, and Rebirth in the 1919 Tour de France",Adin Dobkin,3.9 out of 5 stars,613,$4.99
Grant's Tomb: The Epic Death of Ulysses S. Grant and the Making of an American Pantheon,Louis L. Picone,4.7 out of 5 stars,64,$1.99
Forget the Alamo: The Rise and Fall of an American Myth,Chris Tomlinson,3.9 out of 5 stars,160,$13.99
"Forensics: What Bugs, Burns, Prints, DNA, and More Tell Us About Crime",Val McDermid,4.7 out of 5 stars,"1,254",$1.99
The Premonition: A Pandemic Story,Michael Lewis,4.7 out of 5 stars,"6,121",$9.18
The Tudor Tutor: Your Cheeky Guide to the Dynasty,Barb Alexander,4.4 out of 5 stars,168,$1.99
The Man in the Arena: From Fighting ISIS to Fighting for My Freedom,Eddie Gallagher,4.9 out of 5 stars,173,$7.99
Collapse: How Societies Choose to Fail or Succeed: Revised Edition,Jared Diamond,4.5 out of 5 stars,"2,002",$14.99
"The Bomber Mafia: A Dream, a Temptation, and the Longest Night of the Second World War",Malcolm Gladwell,4.4 out of 5 stars,"2,344",$14.99
"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",Erik Larson,4.6 out of 5 stars,"1,805,686",$14.99
Killing the Mob: The Fight Against Organized Crime in America (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6 out of 5 stars,"4,755",$14.99
A Higher Call: An Incredible True Story of Combat and Chivalry in the War-Torn Skies of World War II,Adam Makos,4.8 out of 5 stars,"7,569",$13.99
Caste (Oprah's Book Club): The Origins of Our Discontents,Isabel Wilkerson,4.8 out of 5 stars,"31,097",$13.99
Pickett's Charge: A New Look at Gettysburg's Final Attack,Phillip Thomas Tucker,4.1 out of 5 stars,185,$1.99
Colin Ward (American Western Justice),Jesse Storm,4.5 out of 5 stars,244,$0.99
A Widow's Post (American Western Justice),Jesse Storm,4.5 out of 5 stars,357,$0.99
Don't Know Much About the Universe: Everything You Need to Know About Outer Space but Never Learned (Don't Know Much…,Kenneth C. Davis,4.3 out of 5 stars,46,$1.99
American Uprising: The Untold Story of America's Largest Slave Revolt,Daniel Rasmussen,4.5 out of 5 stars,210,$1.99
Loose Ends,Duane Boehm,4.6 out of 5 stars,635,$0.99
In Order to Live: A North Korean Girl's Journey to Freedom,Yeonmi Park,4.8 out of 5 stars,"5,540",$12.99
The Fifties,David Halberstam,4.5 out of 5 stars,"1,296",$2.99
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.6 out of 5 stars,"47,039",$14.99
The Western Canon: The Books and School of the Ages,Harold Bloom,4.5 out of 5 stars,257,$1.99
A Promised Land,Barack Obama,4.9 out of 5 stars,"110,388",$17.99
His Truth Is Marching On: John Lewis and the Power of Hope,Jon Meacham,4.6 out of 5 stars,"1,805,686",$14.99
A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II,Sonia Purnell,4.6 out of 5 stars,"1,805,579",$12.99
A Cavalryman's Destiny (American Western Justice),Jesse Storm,4.4 out of 5 stars,22,$0.99
The Lone Wagon (Post-Civil War Western Justice),William Black,4.4 out of 5 stars,332,$0.99
Man's Search for Meaning,Viktor E. Frankl,4.7 out of 5 stars,"35,035",$9.99
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.6 out of 5 stars,"14,544",$11.99
"The Cruelty Is the Point: The Past, Present, and Future of Trump's America",Adam Serwer,4.0 out of 5 stars,10,$13.99
"Chaos: Charles Manson, the CIA, and the Secret History of the Sixties",Tom O'Neill,4.6 out of 5 stars,"1,805,579",$15.99
The Wolves at the Door: The True Story of America's Greatest Female Spy,Judith Pearson,4.6 out of 5 stars,"1,203",$1.99
The Weaver's Legacy: A historical epic novel of the Irish in the American West (The O'Neill Trilogy Book 2),Olive Collins,4.5 out of 5 stars,"1,898",$5.99
The 48 Laws of Power,Robert Greene,4.7 out of 5 stars,"26,623",$16.99
The Warburgs: The Twentieth-Century Odyssey of a Remarkable Jewish Family,Ron Chernow,4.6 out of 5 stars,277,$10.99
The Spy and the Traitor: The Greatest Espionage Story of the Cold War,Ben Macintyre,4.7 out of 5 stars,"11,226",$14.99
Zero Fail: The Rise and Fall of the Secret Service,Carol Leonnig,4.6 out of 5 stars,"2,267",$13.99
"The Native American Experience: Bury My Heart at Wounded Knee, The Fetterman Massacre, and Creek Mary's Blood",Dee Brown,4.8 out of 5 stars,68,$2.99
Upstairs at the White House: My Life with the First Ladies,J. B. West,4.6 out of 5 stars,"6,593",$2.99
"Interesting Stories For Curious People: A Collection of Fascinating Stories About History, Science, Pop Culture and Just…",Bill O'Neill,4.5 out of 5 stars,"9,618",$3.99
Landslide: The Final Days of the Trump Presidency,Michael Wolff,-1,0,$14.99
Hunting LeRoux: The Inside Story of the DEA Takedown of a Criminal Genius and His Empire,Elaine Shannon,4.4 out of 5 stars,143,$1.99
Facing the Mountain: A True Story of Japanese American Heroes in World War II,Daniel James Brown,4.8 out of 5 stars,376,$14.99
"Unsettled: What Climate Science Tells Us, What It Doesn't, and Why It Matters",Steven E. Koonin,4.7 out of 5 stars,"1,086",$12.99
Judd's Journey: A Western Adventure,C. Wayne Winkle,4.5 out of 5 stars,282,$0.99
How the Word Is Passed: A Reckoning with the History of Slavery Across America,Clint Smith,4.9 out of 5 stars,343,$14.99
Tiny Blunders/Big Disasters: Thirty-Nine Tiny Mistakes That Changed the World Forever (Revised Edition),Jared Knott,4.1 out of 5 stars,762,$2.99
Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,4.7 out of 5 stars,"3,991",$2.99
"The Great Dissenter: The Story of John Marshall Harlan, America's Judicial Hero",Peter Canellos,5.0 out of 5 stars,6,$16.99
Revolution: The History of England from the Battle of the Boyne to the Battle of Waterloo,Peter Ackroyd,4.7 out of 5 stars,62,$2.99
Washington's Immortals: The Untold Story of an Elite Regiment Who Changed the Course of the Revolution,Patrick K. O'Donnell,4.7 out of 5 stars,690,$10.99
Last Best Hope: America in Crisis and Renewal,George Packer,4.2 out of 5 stars,81,$13.99
Hampton and Proud (Post-Civil War Western Justice),William Black,4.5 out of 5 stars,103,$0.99
